step,robot_idx,du,dv,psf_size,blurred_mean,deblurred_mean,blurred_std,deblurred_std
0,0,0.000,-0.000,3,196.8,194.4,45.5,45.0
1,1,0.000,-0.000,3,196.8,194.4,45.5,45.0
2,3,0.000,-0.000,3,196.8,194.4,45.5,45.0
3,4,0.000,-0.000,3,196.8,194.4,45.5,45.0
4,5,0.000,-0.000,3,196.8,194.4,45.5,45.0
5,6,-0.000,-0.000,3,196.8,194.4,45.5,45.0
6,9,-0.000,-0.000,3,196.8,194.4,45.5,45.0
7,10,-0.000,-0.000,3,196.8,194.4,45.5,45.0
8,12,-0.000,-0.000,3,196.8,194.4,45.5,45.0
9,14,0.000,0.000,3,196.8,194.4,45.5,45.0
10,16,-0.000,-0.000,3,196.8,194.3,45.5,45.0
11,18,0.000,0.000,3,196.8,194.3,45.5,45.0
12,20,-0.000,-0.000,3,196.7,194.3,45.5,45.0
13,22,0.000,-0.000,3,196.7,194.3,45.5,45.0
14,25,0.000,0.000,3,196.7,194.3,45.5,45.0
15,26,-0.000,-0.000,3,196.7,194.3,45.5,45.0
16,28,0.003,-0.003,3,196.7,194.3,45.5,45.0
17,30,3.461,-0.701,7,196.7,193.5,45.5,47.2
18,32,8.666,-1.371,17,197.2,193.5,44.4,47.1
19,33,9.785,-1.672,19,197.7,194.0,44.0,46.9
20,35,10.442,-2.162,21,198.1,194.3,43.8,46.9
21,37,9.847,-2.546,19,199.0,195.4,43.3,45.7
22,38,9.745,-2.020,19,199.5,195.9,43.2,45.4
23,40,9.023,-1.874,19,200.4,197.0,42.9,45.0
24,41,8.352,-2.202,17,200.9,197.5,42.6,44.3
25,44,7.955,-2.103,15,201.4,198.1,42.2,43.3
26,46,7.541,-1.749,15,201.5,198.2,41.7,42.9
27,48,7.394,-2.344,15,201.5,198.3,41.5,42.9
28,49,6.964,-2.100,13,201.5,198.3,41.4,42.1
29,51,6.764,-1.346,13,201.6,198.4,40.9,41.7
30,52,6.318,-2.258,13,201.8,198.7,40.6,41.6
31,54,6.151,-2.257,13,202.3,199.2,39.8,40.9
32,55,6.083,-1.663,13,202.6,199.6,39.2,40.2
33,56,6.138,-1.728,13,202.9,199.9,38.7,39.6
34,59,6.775,-2.470,13,203.5,200.4,37.7,38.6
35,60,7.249,-2.515,15,204.0,200.9,37.3,38.7
36,62,7.381,-3.128,15,204.9,201.6,37.0,38.2
37,64,7.511,-3.305,15,206.4,203.1,36.4,37.6
38,66,7.711,-3.949,15,205.0,201.7,36.7,38.0
39,67,8.610,-4.803,17,205.7,202.2,36.4,38.1
40,68,9.232,-4.835,19,203.3,199.7,37.3,39.3
41,70,10.312,-5.438,21,203.8,200.1,37.2,39.6
42,72,10.454,-5.671,21,201.3,197.6,38.0,40.4
43,73,11.109,-5.927,23,201.7,197.9,37.8,40.5
44,74,10.688,-5.819,21,201.8,198.1,37.7,40.3
45,76,10.865,-5.683,21,198.5,194.9,38.9,41.4
46,78,10.670,-5.596,21,198.7,195.2,39.2,41.9
47,79,10.230,-5.812,21,195.2,191.7,40.5,43.0
48,82,7.008,-4.071,15,195.1,191.9,41.2,42.8
49,83,5.515,-3.125,11,195.0,191.8,41.4,42.3
50,84,3.054,-1.920,7,194.9,192.2,41.6,42.1
51,86,1.573,-1.037,3,194.7,192.1,41.8,41.6
52,88,0.345,-0.156,3,194.6,192.3,41.9,41.4
53,89,0.216,-0.281,3,194.7,192.3,41.9,41.4
54,91,0.465,0.503,3,194.7,192.3,41.9,41.5
55,92,0.612,1.026,3,194.7,192.1,41.9,41.7
56,93,1.067,1.878,3,194.7,192.2,41.9,41.9
57,95,1.827,3.805,7,195.1,192.2,42.0,42.2
58,96,1.869,4.206,9,195.2,192.3,42.2,42.7
59,98,1.001,5.188,11,195.4,192.5,42.4,43.0
60,100,-0.410,5.768,11,191.8,188.9,44.0,44.2
61,101,-2.183,6.998,13,192.0,189.0,44.1,44.8
62,103,-5.696,7.511,15,192.4,189.1,44.4,45.8
63,105,-7.491,7.674,15,192.8,189.3,44.4,45.9
64,107,-9.136,8.125,19,189.7,186.1,45.1,47.5
65,108,-10.053,6.883,21,189.7,186.1,44.8,47.3
66,111,-7.753,5.599,15,189.9,186.7,44.0,45.5
67,112,-4.059,2.855,9,189.9,187.0,43.8,44.4
68,113,-3.198,2.041,7,189.5,186.8,43.8,44.4
69,116,-0.754,0.590,3,189.3,186.9,43.7,43.4
70,117,-1.793,1.116,3,189.1,186.7,43.7,43.8
71,119,-6.072,4.457,13,189.4,186.0,43.7,44.7
72,120,-6.178,4.485,13,189.7,186.4,43.7,44.8
73,121,-5.351,3.956,11,189.1,186.1,43.9,45.3
74,124,-1.997,1.718,3,188.9,186.4,44.1,43.9
75,125,-1.153,1.403,3,188.6,186.2,44.2,44.1
76,126,-0.033,1.425,3,188.1,185.7,44.5,44.1
77,129,1.117,3.055,7,188.6,186.0,44.6,44.8
78,130,2.024,4.216,9,188.6,185.8,44.8,45.3
79,132,2.041,5.482,11,189.4,186.4,45.5,45.9
80,135,2.460,6.145,13,189.5,186.5,46.8,47.4
81,136,2.178,6.464,13,189.8,186.7,47.7,48.1
82,137,2.666,6.259,13,189.9,187.0,48.6,49.3
83,139,2.140,6.398,13,185.4,182.5,51.8,52.2
84,142,1.974,5.261,11,183.9,181.2,54.3,54.6
85,143,1.499,4.289,9,182.4,179.8,55.7,55.7
86,146,0.384,1.203,3,179.6,177.2,58.0,57.4
87,147,0.385,0.909,3,175.0,172.8,59.1,58.8
88,148,0.048,0.441,3,174.5,172.3,59.4,58.8
89,150,0.040,0.108,3,174.2,172.1,59.6,58.9
90,151,-0.001,0.058,3,173.9,171.7,59.6,59.0
91,152,0.007,0.023,3,174.0,171.8,59.6,59.0
