Failed frames: 234 / 368
Parameters: K=0.1, exposure=0.03
 Frame   Lap_before    Lap_after     Change     PSNR    SSIM
   163        66.05        19.00     -47.05    15.83  0.7416
   164        62.95        48.06     -14.89    18.20  0.8603
   165        63.66         9.97     -53.69    16.11  0.7168
   166        62.86        15.81     -47.05    15.14  0.6278
   167        61.40        19.35     -42.05    16.43  0.7284
   168        60.95        28.20     -32.76    16.89  0.7590
   169        62.87        60.93      -1.94    18.16  0.8318
   175        65.47        61.83      -3.64    19.62  0.8970
   183        65.17        53.45     -11.71    18.35  0.8421
   185        66.50        56.53      -9.96    18.45  0.8488
   186        66.50        51.38     -15.12    18.94  0.8728
   187        67.64        66.86      -0.78    18.25  0.8409
   188        68.25        62.61      -5.65    18.27  0.8424
   189        67.56        51.35     -16.21    18.36  0.8480
   190        67.22        43.90     -23.31    17.82  0.8197
   192        71.78        64.56      -7.22    18.80  0.8704
   195        82.24        79.79      -2.45    18.19  0.8440
   199        92.85        75.81     -17.04    18.02  0.8394
   200        94.50        72.43     -22.07    18.20  0.8533
   202        83.54        56.98     -26.57    17.10  0.7968
   203        82.08        71.24     -10.84    18.50  0.8670
   204        79.15        69.50      -9.66    19.51  0.9061
   205        80.24        43.87     -36.37    17.93  0.8409
   207        79.07        58.79     -20.28    17.17  0.8008
   208        76.25        73.50      -2.75    19.64  0.9114
   209        73.06        50.16     -22.90    17.12  0.7986
   211        70.91        38.46     -32.44    16.70  0.7725
   213        63.22        54.83      -8.38    18.03  0.8490
   216        49.55        36.60     -12.94    17.24  0.8018
   217        50.73        35.18     -15.55    16.44  0.7522
   218        62.79        61.95      -0.85    17.82  0.8359
   223        56.48        55.04      -1.44    19.31  0.8978
   227        59.01        55.26      -3.75    18.57  0.8725
   233        61.10        37.94     -23.16    16.28  0.7452
   234        59.64        19.53     -40.10    15.01  0.6421
   235        57.75        19.82     -37.93    14.93  0.6397
   236        55.59        19.61     -35.98    15.04  0.6408
   237        55.10        20.46     -34.64    15.53  0.6819
   241        81.18        67.95     -13.23    23.20  0.9908
   243        72.56        55.06     -17.50    17.33  0.8083
   244        82.56        46.12     -36.44    16.60  0.7638
   245        68.64        22.25     -46.39    15.11  0.6381
   246        68.40        20.39     -48.01    15.38  0.6528
   247        76.22        18.77     -57.45    16.05  0.6990
   253        62.95        52.07     -10.88    17.66  0.8060
   255        56.16        33.95     -22.21    16.46  0.7326
   256        60.48        10.49     -49.99    14.13  0.5195
   259        86.65        79.61      -7.04    19.35  0.8926
   260        90.27        82.63      -7.64    19.74  0.9073
   261        94.27        89.84      -4.43    19.61  0.9007
   265        97.59        31.12     -66.47    16.17  0.7169
   266        89.53        24.29     -65.24    15.35  0.6481
   267        72.03        19.30     -52.73    15.08  0.6353
   268        73.58         9.42     -64.16    13.30  0.4525
   269        74.16        10.87     -63.29    13.70  0.5217
   271        80.91        69.10     -11.81    18.75  0.8823
   272        85.12        48.25     -36.87    18.27  0.8630
   276        89.36        74.59     -14.77    23.36  0.9908
   279        89.79        87.65      -2.14    19.79  0.9168
   286        93.13        77.83     -15.30    23.71  0.9908
   287        97.75        81.54     -16.21    23.72  0.9909
   288        97.31        81.22     -16.10    23.72  0.9908
   289        97.87        81.68     -16.19    23.72  0.9909
   290        98.79        82.40     -16.39    23.62  0.9908
   291        99.41        82.95     -16.46    23.62  0.9908
   292        99.30        82.80     -16.50    23.62  0.9908
   293        98.38        82.11     -16.27    23.61  0.9908
   294        98.87        82.47     -16.39    23.62  0.9908
   295        49.69        41.78      -7.90    23.62  0.9908
   296        66.34        55.61     -10.73    23.64  0.9908
   297        82.12        68.69     -13.43    23.62  0.9908
   298        81.51        68.12     -13.39    23.62  0.9908
   299        42.13        35.56      -6.56    23.63  0.9908
   300        86.41        72.15     -14.26    23.59  0.9908
   301        96.14        80.20     -15.95    23.59  0.9908
   302        98.04        81.81     -16.23    23.59  0.9908
   303        96.35        80.38     -15.96    23.60  0.9908
   304        95.79        79.94     -15.86    23.59  0.9908
   305        97.72        81.57     -16.15    23.60  0.9908
   306        96.26        44.74     -51.52    17.43  0.7770
   307        58.78        23.96     -34.83    15.50  0.6185
   308        56.92        11.77     -45.15    13.55  0.3787
   309        55.71        47.04      -8.67    17.91  0.7877
   310        53.84        11.39     -42.45    13.98  0.3690
   311        52.24        27.40     -24.84    17.13  0.7148
   312        54.70        31.07     -23.62    17.25  0.7085
   313        57.32        39.05     -18.27    17.78  0.7477
   314        56.66        30.18     -26.48    18.11  0.7686
   316        62.78        38.53     -24.25    18.57  0.8077
   317        65.88        57.70      -8.18    18.56  0.8155
   329       108.73        94.27     -14.47    17.79  0.8240
   334        87.60        81.14      -6.46    16.44  0.7118
   337        84.89        43.59     -41.30    16.04  0.6816
   340        85.46        66.13     -19.33    16.99  0.7562
   342        81.25        64.64     -16.60    17.16  0.7655
   343        81.54        73.84      -7.70    17.70  0.8007
   344        78.46        69.33      -9.13    17.78  0.8040
   345        79.41        68.59     -10.81    17.64  0.7865
   346        75.98        34.28     -41.70    17.59  0.7781
   347        83.19        70.56     -12.63    18.09  0.8123
   348        84.25        59.65     -24.60    17.51  0.7689
   349       118.19        63.93     -54.25    17.84  0.7947
   350       118.84        71.91     -46.94    17.29  0.7534
   352       100.44        98.43      -2.01    17.71  0.7868
   353       112.58        82.29     -30.29    17.58  0.7767
   356       107.47       102.03      -5.44    17.67  0.7863
   363       400.62       332.44     -68.17    22.34  0.9908
   364       401.20       332.88     -68.32    22.34  0.9908
   365       402.23       333.71     -68.51    22.33  0.9908
