step,robot_idx,du,dv,psf_size,blurred_mean,deblurred_mean,blurred_std,deblurred_std
102,173,0.000,-0.000,3,174.0,171.8,59.6,59.0
103,174,0.000,-0.001,3,174.1,171.9,59.6,59.0
104,175,0.000,-0.001,3,174.1,171.9,59.6,59.0
105,176,0.000,-0.000,3,174.1,171.9,59.6,59.0
106,178,0.000,-0.000,3,174.1,171.9,59.6,59.0
107,180,0.000,0.000,3,174.1,171.9,59.6,59.0
108,181,0.000,-0.000,3,174.1,171.9,59.6,59.0
109,182,0.000,-0.000,3,174.1,171.9,59.6,59.0
110,184,0.000,-0.000,3,174.1,171.9,59.6,59.0
111,185,0.000,0.000,3,174.1,171.9,59.6,59.0
112,186,0.000,-0.000,3,174.1,171.9,59.6,59.0
113,189,0.000,0.000,3,174.1,171.9,59.6,59.0
114,190,-0.000,-0.000,3,174.1,171.9,59.6,59.0
115,191,0.000,0.000,3,174.1,171.9,59.6,59.0
116,192,0.000,0.000,3,174.1,171.9,59.6,59.0
117,193,0.000,0.000,3,174.1,171.9,59.6,59.0
118,195,-0.000,-0.000,3,174.1,171.9,59.6,59.0
119,197,-0.000,-0.000,3,174.1,171.9,59.6,59.0
120,198,0.000,0.000,3,174.1,171.9,59.6,59.0
121,199,-0.003,0.000,3,174.1,171.9,59.6,59.0
122,201,-0.002,0.000,3,174.2,172.0,59.4,58.8
123,201,-0.002,0.000,3,174.2,172.0,59.4,58.7
124,202,-0.001,0.000,3,174.2,172.1,59.2,58.5
125,205,-0.001,0.000,3,174.4,172.2,59.0,58.4
126,206,0.001,0.001,3,174.3,172.1,59.0,58.4
127,208,-0.000,-0.000,3,174.4,172.2,58.8,58.2
128,209,-0.000,-0.000,3,174.4,172.3,58.8,58.1
129,211,-0.002,0.000,3,174.3,172.2,58.7,58.1
130,213,0.000,0.000,3,174.3,172.1,58.6,58.0
131,214,0.002,-0.000,3,174.3,172.1,58.6,58.0
132,216,0.000,-0.000,3,174.2,172.0,58.4,57.8
133,218,-0.000,0.000,3,174.2,172.0,58.3,57.7
134,219,-0.002,0.001,3,174.1,171.9,58.3,57.6
135,220,-0.000,0.000,3,174.2,172.0,58.3,57.6
136,222,0.001,0.000,3,174.3,172.1,58.1,57.5
137,223,-0.003,0.001,3,174.4,172.2,58.1,57.5
138,224,-0.000,-0.000,3,174.6,172.4,58.1,57.5
139,227,0.002,0.000,3,174.5,172.3,58.0,57.4
140,228,0.000,-0.000,3,174.6,172.4,58.1,57.5
141,230,-0.001,-0.000,3,174.8,172.6,57.9,57.3
142,232,-0.001,-0.000,3,174.9,172.8,57.8,57.2
143,232,-0.001,-0.000,3,175.0,172.8,57.8,57.2
144,235,-0.001,-0.000,3,176.2,174.0,57.3,56.7
145,236,-0.000,-0.000,3,176.4,174.2,57.2,56.6
146,237,0.000,0.001,3,176.5,174.3,57.2,56.6
147,238,0.001,0.002,3,176.7,174.5,57.1,56.4
148,239,0.000,0.001,3,176.8,174.6,57.0,56.4
149,240,0.001,0.001,3,176.8,174.6,57.0,56.4
150,242,0.000,-0.000,3,176.8,174.6,57.0,56.4
151,243,-0.000,0.000,3,176.8,174.6,57.0,56.4
152,244,-0.000,-0.000,3,176.8,174.6,57.0,56.4
153,245,0.001,-0.000,3,176.8,174.6,57.0,56.4
154,248,-0.000,0.000,3,176.8,174.6,57.0,56.4
155,250,0.000,0.000,3,176.8,174.6,57.0,56.4
156,251,-0.000,-0.000,3,176.8,174.6,57.0,56.4
157,253,0.000,0.000,3,176.8,174.6,57.0,56.4
158,255,0.000,-0.000,3,176.8,174.6,57.0,56.4
159,257,0.002,0.008,3,176.8,174.6,57.0,56.4
160,258,-0.001,-0.979,3,176.8,174.4,57.0,56.6
161,261,0.149,-7.770,15,177.4,174.8,56.7,57.7
162,263,-0.123,-9.798,19,179.1,176.4,55.0,56.1
163,264,-0.113,-10.585,21,180.4,177.6,53.5,55.0
164,266,-0.698,-11.614,23,181.9,179.0,51.6,53.5
165,268,-0.939,-11.420,23,184.2,181.2,48.8,50.8
166,269,-0.703,-11.556,23,184.9,182.0,48.1,50.1
167,270,-0.758,-12.183,25,185.4,182.4,47.6,49.9
168,271,-0.579,-12.133,25,185.9,182.8,47.3,49.4
169,274,-0.822,-11.867,23,186.7,183.8,46.7,48.9
170,275,-0.606,-12.526,25,187.0,184.0,46.4,48.7
171,278,-1.324,-12.437,25,187.4,184.4,46.2,48.6
172,279,-1.440,-12.834,25,187.6,184.5,46.2,48.5
173,281,-0.780,-12.246,25,187.8,184.7,46.1,48.5
174,282,-1.210,-11.975,23,187.8,184.9,46.1,48.3
175,283,-1.188,-12.446,25,187.9,184.9,46.1,48.5
176,286,-1.059,-12.882,25,188.0,185.0,46.2,48.6
177,288,-1.091,-12.763,25,188.0,185.0,46.3,48.6
178,289,-1.297,-12.385,25,188.1,185.1,46.3,48.7
179,292,-0.715,-7.156,15,188.1,185.2,46.4,47.6
180,294,-0.761,-2.424,5,188.3,185.8,46.4,46.6
181,295,-1.997,-1.209,3,188.3,185.9,46.4,46.2
182,298,-7.636,3.026,15,188.4,185.3,46.4,47.9
183,300,-11.316,4.376,23,188.4,184.6,46.5,48.9
184,301,-11.858,4.446,23,188.4,184.6,46.6,49.1
185,303,-12.039,4.838,25,188.2,184.3,46.8,49.7
186,304,-12.305,4.620,25,188.1,184.2,47.0,49.7
187,305,-12.447,4.636,25,188.1,184.2,47.1,49.8
188,306,-11.731,5.031,23,188.1,184.4,47.2,50.0
189,309,-13.319,4.403,27,187.9,183.8,47.4,50.4
190,310,-13.414,4.164,27,187.9,183.9,47.4,50.6
191,312,-15.715,4.090,31,187.7,183.6,47.7,51.6
192,314,-17.033,3.936,35,187.6,183.3,47.8,52.4
193,315,-18.385,3.861,37,187.4,183.1,48.0,52.8
194,317,-18.553,3.907,37,187.1,182.8,48.1,53.0
195,318,-19.390,4.074,39,186.9,182.5,48.2,53.3
196,321,-20.255,3.814,41,186.4,181.9,48.4,53.8
197,322,-20.868,4.063,41,186.2,181.6,48.5,54.0
198,325,-20.222,3.970,41,185.5,180.9,48.8,54.4
199,326,-20.520,4.058,41,185.1,180.5,49.1,54.7
