step,robot_idx,du,dv,psf_size,blurred_mean,deblurred_mean,blurred_std,deblurred_std
101,170,0.011,0.001,3,174.1,171.9,59.6,59.0
102,173,-0.002,0.002,3,174.0,171.8,59.6,59.0
103,174,-0.001,0.001,3,174.1,171.9,59.6,59.0
104,175,0.001,0.000,3,174.1,171.9,59.6,59.0
105,176,-0.000,0.001,3,174.1,171.9,59.6,59.0
106,178,-0.000,0.001,3,174.1,171.9,59.6,59.0
107,180,-0.000,0.000,3,174.1,171.9,59.6,59.0
108,181,-0.001,0.000,3,174.1,171.9,59.6,59.0
109,182,-0.000,0.000,3,174.1,171.9,59.6,59.0
110,184,-0.000,0.000,3,174.1,171.9,59.6,59.0
111,185,-0.000,0.000,3,174.1,171.9,59.6,59.0
112,186,-0.000,-0.000,3,174.1,171.9,59.6,59.0
113,189,-0.000,0.000,3,174.1,171.9,59.6,59.0
114,190,-0.000,-0.000,3,174.1,171.9,59.6,59.0
115,191,-0.000,-0.000,3,174.1,171.9,59.6,59.0
116,192,-0.000,0.000,3,174.1,171.9,59.6,59.0
117,193,0.000,0.000,3,174.1,171.9,59.6,59.0
118,195,-0.000,-0.000,3,174.1,171.9,59.6,59.0
119,197,-0.000,-0.000,3,174.1,171.9,59.6,59.0
120,198,0.000,0.000,3,174.1,171.9,59.6,59.0
121,199,0.001,-0.002,3,174.1,171.9,59.6,59.0
122,201,0.000,-0.001,3,174.2,172.0,59.4,58.8
123,201,0.000,-0.001,3,174.2,172.0,59.4,58.7
124,202,-0.001,-0.000,3,174.2,172.1,59.2,58.5
125,205,-0.000,-0.000,3,174.4,172.2,59.0,58.4
126,206,-0.000,0.000,3,174.3,172.1,59.0,58.4
127,208,0.000,-0.000,3,174.4,172.2,58.8,58.2
128,209,0.000,0.000,3,174.4,172.3,58.8,58.1
129,211,-0.000,-0.001,3,174.3,172.2,58.7,58.1
130,213,0.000,-0.000,3,174.3,172.1,58.6,58.0
131,214,-0.000,0.001,3,174.3,172.1,58.6,58.0
132,216,-0.000,0.000,3,174.2,172.0,58.4,57.8
133,218,-0.000,-0.000,3,174.2,172.0,58.3,57.7
134,219,-0.000,-0.001,3,174.1,171.9,58.3,57.6
135,220,0.000,-0.000,3,174.2,172.0,58.3,57.6
136,222,0.000,0.001,3,174.3,172.1,58.1,57.5
137,223,0.000,-0.001,3,174.4,172.2,58.1,57.5
138,224,0.001,-0.000,3,174.6,172.4,58.1,57.5
139,227,-0.000,0.001,3,174.5,172.3,58.0,57.4
140,228,0.000,-0.000,3,174.6,172.4,58.1,57.5
141,230,-0.000,-0.000,3,174.8,172.6,57.9,57.3
142,232,0.000,-0.000,3,174.9,172.8,57.8,57.2
143,232,0.000,-0.000,3,175.0,172.8,57.8,57.2
144,235,-0.001,-0.000,3,176.2,174.0,57.3,56.7
145,236,0.000,-0.000,3,176.4,174.2,57.2,56.6
146,237,0.000,-0.000,3,176.5,174.3,57.2,56.6
147,238,0.000,0.000,3,176.7,174.5,57.1,56.4
148,239,0.001,-0.000,3,176.8,174.6,57.0,56.4
149,240,0.001,-0.000,3,176.8,174.6,57.0,56.4
150,242,-0.000,0.000,3,176.8,174.6,57.0,56.4
151,243,-0.000,0.000,3,176.8,174.6,57.0,56.4
152,244,-0.000,0.000,3,176.8,174.6,57.0,56.4
153,245,0.000,0.000,3,176.8,174.6,57.0,56.4
154,248,-0.000,0.000,3,176.8,174.6,57.0,56.4
155,250,-0.000,0.000,3,176.8,174.6,57.0,56.4
156,251,-0.000,-0.000,3,176.8,174.6,57.0,56.4
157,253,0.000,0.000,3,176.8,174.6,57.0,56.4
158,255,-0.000,0.000,3,176.8,174.6,57.0,56.4
159,257,0.007,0.018,3,176.8,174.6,57.0,56.4
160,258,0.464,1.172,3,176.8,174.4,57.0,56.6
161,261,4.122,6.146,13,177.4,174.5,56.7,58.0
162,263,5.002,7.168,15,179.1,176.1,55.0,56.6
163,264,5.316,6.907,13,180.4,177.2,53.5,54.9
164,266,5.640,6.086,13,181.9,178.8,51.6,53.3
165,268,5.943,5.032,11,184.2,181.1,48.8,50.0
166,269,5.623,4.622,11,184.9,181.7,48.1,49.1
167,270,5.937,4.150,11,185.4,182.4,47.6,48.9
168,271,5.615,4.165,11,185.9,182.9,47.3,48.5
169,274,5.617,2.546,11,186.7,183.7,46.7,47.4
170,275,5.379,2.043,11,187.0,184.1,46.4,47.3
171,278,5.155,1.223,11,187.4,184.6,46.2,46.9
172,279,4.818,0.575,9,187.6,184.8,46.2,46.5
173,281,4.997,-0.092,9,187.8,185.1,46.1,46.4
174,282,4.643,-0.682,9,187.8,185.1,46.1,46.4
175,283,4.795,-1.012,9,187.9,185.1,46.1,46.4
176,286,4.414,-1.617,9,188.0,185.3,46.2,46.7
177,288,4.493,-2.814,9,188.0,185.1,46.3,47.1
178,289,4.077,-2.966,9,188.1,185.2,46.3,47.1
179,292,2.077,-1.743,5,188.1,185.6,46.4,46.6
180,294,0.203,0.551,3,188.3,185.9,46.4,45.9
181,295,-1.590,2.424,5,188.3,185.8,46.4,46.4
182,298,-8.035,9.989,19,188.4,184.7,46.4,48.7
183,300,-11.859,14.167,29,188.4,184.1,46.5,50.7
184,301,-11.865,15.469,31,188.4,183.9,46.6,51.0
185,303,-10.708,17.733,35,188.2,183.8,46.8,51.0
186,304,-10.216,17.828,35,188.1,183.7,47.0,51.1
187,305,-9.709,18.355,37,188.1,183.7,47.1,51.4
188,306,-9.092,17.759,35,188.1,183.8,47.2,51.2
189,309,-9.135,18.057,37,187.9,183.7,47.4,51.4
190,310,-9.082,17.706,35,187.9,183.6,47.4,51.3
191,312,-10.887,17.536,35,187.7,183.2,47.7,51.9
192,314,-11.680,17.451,35,187.6,183.0,47.8,52.1
193,315,-12.533,17.708,35,187.4,182.8,48.0,52.4
194,317,-13.217,16.870,33,187.1,182.6,48.1,52.8
195,318,-14.362,16.645,33,186.9,182.2,48.2,53.1
196,321,-14.894,16.293,33,186.4,181.6,48.4,53.6
197,322,-15.206,16.258,33,186.2,181.4,48.5,53.8
198,325,-15.977,15.247,31,185.5,180.8,48.8,53.9
199,326,-16.334,15.518,33,185.1,180.3,49.1,54.5
200,328,-16.872,14.840,33,183.9,179.2,50.0,55.1
201,330,-16.824,14.034,33,183.6,178.9,50.4,55.3
202,332,-16.982,13.707,33,186.3,181.6,49.9,54.6
203,333,-17.364,13.032,35,186.1,181.4,50.0,54.7
204,334,-16.976,12.361,33,185.8,181.2,50.0,54.4
205,336,-17.861,11.927,35,185.3,180.7,50.1,54.5
206,338,-17.188,11.422,35,185.1,180.5,50.1,54.5
207,340,-17.333,10.833,35,184.7,180.2,50.1,54.9
208,343,-16.985,9.272,33,184.3,179.9,50.3,54.8
209,344,-16.876,9.151,33,184.0,179.7,50.3,54.8
210,346,-16.554,8.252,33,187.7,183.1,50.0,54.9
211,348,-16.197,7.418,33,191.3,186.6,49.5,54.9
212,350,-15.986,6.884,31,191.3,186.8,49.6,54.7
213,351,-16.398,7.083,33,191.2,186.6,49.7,55.1
214,353,-16.135,6.963,33,190.3,185.8,49.8,55.5
215,354,-16.290,7.141,33,190.1,185.6,49.4,55.0
216,355,-13.590,6.941,27,192.8,188.6,48.7,53.2
217,357,-10.437,6.861,21,191.8,188.1,49.0,53.0
218,359,-3.730,8.334,17,193.1,189.9,49.2,52.1
219,360,-2.253,9.738,19,192.6,189.5,49.2,52.7
220,361,-1.590,11.100,23,192.7,189.6,48.8,51.9
221,363,-2.467,12.400,25,195.7,192.4,48.0,51.5
222,365,-2.504,12.410,25,195.9,192.7,47.8,50.7
223,367,-3.425,12.537,25,196.3,192.9,47.7,50.8
224,370,-3.587,12.529,25,196.5,193.1,47.8,50.8
225,371,-3.937,12.372,25,196.7,193.1,48.0,51.1
226,373,-3.792,12.043,25,196.9,193.4,48.4,51.2
227,374,-3.627,10.535,21,197.3,193.9,48.6,50.8
228,375,-2.841,8.470,17,197.4,194.2,48.8,50.4
229,377,-1.325,3.540,7,197.6,194.9,49.1,49.2
230,380,-0.286,1.059,3,197.2,194.6,49.3,48.9
231,381,-0.740,0.682,3,197.2,194.7,49.2,48.9
232,382,-1.791,1.303,3,197.1,194.6,49.3,49.1
233,384,-8.389,5.364,17,196.8,193.1,49.2,51.2
234,386,-12.273,7.181,25,195.6,191.4,49.3,52.9
235,388,-14.134,7.983,29,190.8,186.3,50.0,54.1
236,389,-14.817,8.258,29,187.8,183.4,49.4,53.6
237,392,-11.445,6.139,23,182.1,178.4,49.5,52.4
238,394,-4.199,2.316,9,180.1,177.4,49.5,50.0
239,395,-2.876,1.618,5,178.9,176.6,49.9,50.1
240,396,-1.457,0.664,3,178.7,176.4,49.9,49.7
241,399,-0.124,0.049,3,182.3,180.0,49.9,49.4
242,400,-0.548,-0.164,3,182.5,180.1,50.0,49.5
243,401,-1.567,-0.308,3,184.4,182.1,49.8,49.5
244,402,-3.659,-0.800,7,184.3,181.8,49.7,50.1
245,405,-7.773,-1.516,15,186.1,183.0,48.6,49.8
246,406,-7.595,-1.025,15,186.0,182.9,47.9,49.1
247,408,-4.402,-0.944,9,186.3,183.5,47.1,47.5
248,411,-0.604,-0.040,3,186.6,184.2,47.1,46.7
249,413,-0.247,-0.051,3,186.7,184.4,47.0,46.5
250,414,-0.093,-0.007,3,186.7,184.4,47.1,46.6
251,417,-1.352,4.059,9,186.7,184.0,47.0,48.0
252,418,-1.758,5.240,11,186.6,183.8,46.9,47.9
253,420,-2.985,9.974,19,185.6,182.3,46.8,48.4
254,423,-3.145,9.727,19,183.1,179.9,47.2,48.6
255,425,-2.377,7.222,15,180.2,177.3,47.8,48.8
256,426,-1.229,4.408,9,180.4,177.8,48.0,48.2
257,428,-0.711,2.044,5,179.3,177.0,48.5,48.5
258,429,-0.383,1.071,3,178.8,176.4,48.8,48.4
259,430,-0.121,0.507,3,180.1,177.7,48.9,48.4
260,431,-0.087,0.207,3,179.9,177.6,48.9,48.4
261,432,-0.023,0.140,3,179.5,177.2,48.6,48.1
262,433,0.008,0.013,3,181.2,178.9,48.4,47.9
263,434,0.003,0.012,3,181.2,178.9,48.4,47.9
264,437,0.002,0.001,3,182.8,180.4,48.2,47.7
